case,tumor_dice_B,precision_B,recall_B,inside_fp_B,outside_fp_B,tumor_dice_C,precision_C,recall_C,inside_fp_C,outside_fp_C,tumor_dice_D,precision_D,recall_D,inside_fp_D,outside_fp_D,D_minus_B,D_minus_C,C_minus_B
liver_27,0.8163383990527655,0.7246427686462377,0.9346020890259557,65756,919,0.8136665288929963,0.7212646398946133,0.9332225435835158,66801,908,0.8164395309383098,0.7257435710468204,0.9330414449540064,65439,758,0.0001011318855442811,0.0027730020453134996,-0.0026718701597692185
liver_3,0.8438495857233907,0.7602641401091014,0.9480844969566774,832,3,0.8443804034582133,0.7636837532580365,0.9441460794844252,811,5,0.8347798642890958,0.746331828442438,0.9470103831006088,897,2,-0.009069721434294964,-0.009600539169117517,0.0005308177348225529
liver_38,,,,0,0,,,,0,0,,,,0,0,,,
liver_40,0.8187246590490233,0.8730728323699422,0.7707462442847812,12726,998,0.8213127785939925,0.8376673543369925,0.8055845852384063,17596,1525,0.8207531162305032,0.8785265216783869,0.7701094056172436,11993,1049,0.0020284571814799257,-0.000559662363489366,0.0025881195449692918
liver_41,0.0,0.0,,2934,22774,0.0,0.0,,5767,23459,0.0,0.0,,2790,22722,0.0,0.0,0.0
liver_42,0.7361260293591121,0.8900432900432901,0.6275946275946276,86,41,0.7496339677891655,0.9360146252285192,0.6251526251526252,63,7,0.7484706729039223,0.91148115687993,0.6349206349206349,100,1,0.012344643544810241,-0.001163294885243138,0.013507938430053379
liver_44,0.4503635156478743,0.9664088632461992,0.2935910532824345,1898,0,0.5356678674998341,0.9772290340496432,0.3689553201785042,1489,110,0.5009768004889995,0.9748433540121584,0.3371095220173127,1504,114,0.050613284841125206,-0.034691067010834575,0.08530435185195978
liver_5,0.8,0.9333333333333332,0.7,27,0,0.7995910020449898,0.8926940639269406,0.7240740740740741,47,0,0.7135969141755063,0.744466800804829,0.6851851851851852,127,0,-0.08640308582449374,-0.08599408786948348,-0.0004089979550102596
liver_51,0.8645303714415378,0.8318223195849584,0.8999159293806798,19415,3309,0.8623595505617978,0.8409358949971467,0.8849033187877817,18064,2841,0.8630834227985758,0.8336081043781844,0.8947195644341247,19052,3253,-0.0014469486429620204,0.0007238722367779449,-0.0021708208797399653
liver_52,0.8147263315874912,0.9266355465756289,0.7269348491473546,890,163,0.832784332514823,0.9209829116439264,0.760002186270223,971,222,0.8293575779398086,0.9194331714456788,0.7553563620463489,992,219,0.014631246352317384,-0.0034267545750144013,0.018058000927331785
liver_58,0.5484982767109798,0.9472789115646258,0.386001386001386,31,0,0.5868152274837511,0.8888888888888888,0.437976437976438,79,0,0.5398230088495575,0.9289340101522844,0.3804573804573805,42,0,-0.008675267861422364,-0.04699221863419367,0.03831695077277131
liver_64,0.9590999057627916,0.9846729323750484,0.934821573149146,2440,166,0.9581571997532472,0.9759607588778983,0.9409915518752828,3860,291,0.9623058102758936,0.9797764121792868,0.9454473374168728,3348,147,0.003205904513101987,0.004148610522646368,-0.0009427060095443807
liver_70,0.8676865171051651,0.9907134575084834,0.7718393900468239,869,4,0.862240138748916,0.992478687816985,0.7622177101893672,697,0,0.8700129536685811,0.989178403260204,0.7764720507189325,1025,0,0.0023264365634160233,0.007772814919665083,-0.00544637835624906
liver_75,0.8064240560396377,0.7492063492063492,0.8731039585645579,790,0,0.7929471032745592,0.7260147601476015,0.8734739178690344,891,0,0.8065900120130427,0.7522407170294494,0.8694043655197928,774,0,0.00016595597340496315,0.013642908738483506,-0.013476952765078543
liver_77,0.5267249757045676,0.8381443298969072,0.3840340103920642,311,3,0.4501906182662025,0.754863813229572,0.3207368918280586,411,30,0.5354306658521686,0.757562662057044,0.4140292867264997,409,152,0.00870569014760103,0.0852400475859661,-0.07653435743836506
liver_82,0.9206098241497233,0.932836037289954,0.9086999505684626,9150,115,0.916701428446236,0.9101451292938432,0.9233528705599888,12634,275,0.916973295671099,0.9251424916086278,0.9089471082550667,10109,306,-0.003636528478624279,0.0002718672248629428,-0.003908395703487222
